*Number-of-Occurences Normalized-Frequency Ngram
152 0.04543 ((0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0))
128 0.03825 ((0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1))
83 0.02481 ((0,2),(0,-1),(0,2),(0,-1),(0,2),(0,-1),(0,2),(0,-1),(0,2),(0,-1))
79 0.02361 ((0,-1),(0,2),(0,-1),(0,2),(0,-1),(0,2),(0,-1),(0,2),(0,-1),(0,2))
50 0.01494 ((0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0))
46 0.01375 ((0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,1))
46 0.01375 ((0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1))
46 0.01375 ((0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,1),(0,0))
46 0.01375 ((0,0),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,1),(0,0),(0,1))
41 0.01225 ((0,1),(0,0),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0))
41 0.01225 ((0,0),(0,1),(0,0),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,1))
41 0.01225 ((0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,2))
27 0.00807 ((0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0))
23 0.00687 ((0,-1),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1))
23 0.00687 ((0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(-7,1),(0,0))
22 0.00658 ((0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(-7,1),(0,0),(7,1),(0,0))
22 0.00658 ((0,-1),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(-7,1),(0,0),(7,1))
22 0.00658 ((0,0),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1))
22 0.00658 ((-7,1),(0,0),(7,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0))
22 0.00658 ((0,0),(-7,1),(0,0),(7,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1))
22 0.00658 ((0,1),(0,0),(0,1),(0,0),(-7,1),(0,0),(7,1),(0,0),(0,1),(0,0))
22 0.00658 ((0,0),(0,1),(0,0),(0,1),(0,0),(-7,1),(0,0),(7,1),(0,0),(0,1))
22 0.00658 ((0,0),(0,1),(0,0),(-7,1),(0,0),(7,1),(0,0),(0,1),(0,0),(0,1))
22 0.00658 ((7,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0))
22 0.00658 ((0,0),(7,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(0,1))
22 0.00658 ((0,1),(0,0),(-7,1),(0,0),(7,1),(0,0),(0,1),(0,0),(0,1),(0,0))
19 0.00568 ((0,0),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,1),(0,0),(-7,1))
14 0.00418 ((0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,2),(0,-1))
12 0.00359 ((0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,2),(0,-1),(0,1),(0,0))
12 0.00359 ((0,-1),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,2),(0,-1),(0,1))
